source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,id,event_date_formatted,elevation,slope,aspect,clay_percent,sand_percent,silt_percent,bulk_density
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,148,07/30/2007 12:00:00 AM,,Saiha,road networks disrupted,Saiha,25km,landslide,downpour,medium,unknown,,,,,,glc,148.0,India,IN,Mizoram,22654.0,Saiha,2.05477,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.967,22.479,148,2007-07-30,1913.9,40.9,30.8,37.6,18.9,43.6,1.25
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=1&theme=&usrsess=1&id=164902,151,08/02/2007 12:00:00 AM,,Kurseong,closest to predicted location of Ranchi (480.53),Kurseong,25km,mudslide,rain,medium,unknown,3.0,,,,,glc,151.0,India,IN,Bengal,46427.0,Kārsiyāng,0.89953,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2789,26.8905,151,2007-08-02,1890.8,36.76,159.5,33.5,27.2,39.3,1.25
The hindu.com,http://www.hindu.com/thehindu/holnus/004200708261441.htm,210,08/25/2007 12:00:00 AM,,"Hattisurey in Kalimpong, on National Highway 31A","major landslide along road, closed for over 1 week, lifeline to Sikkim","Hattisurey in Kalimpong, on National Highway 31A",25km,landslide,rain,medium,unknown,,,,,,glc,210.0,India,IN,Bengal,43000.0,Kālimpang,3.41647,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.4308,27.0713,210,2007-08-25,1351.9,46.71,111.4,30.8,33.3,35.9,1.25
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39058&typeid=1,211,08/26/2007 12:00:00 AM,,Tamenglong,"man killed along road cut, many events in this area affecting people and livestock, occurred at 5:30 pm",Tamenglong,5km,mudslide,continuous_rain,medium,unknown,1.0,,3 days of rain,,,glc,211.0,India,IN,Manipur,223523.0,Imphal,43.53546,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.55,24.9667,211,2007-08-26,2076.4,37.84,359.3,38.8,16.4,44.8,1.25
Newspost India.com,http://newspostindia.com/report-12963,212,08/26/2007 12:00:00 AM,,National Highway No 44 at Sonarpur in Meghalaya,"blocked road for several days, 2 days continuous rain, event occurred at 3:30pm",National Highway No 44 at Sonarpur in Meghalaya,unknown,complex,rain,medium,unknown,,,,,,glc,212.0,India,IN,Meghālaya,132842.0,Shillong,3.50078,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8506,25.5576,212,2007-08-26,1337.5,30.74,199.2,38.3,21.4,40.3,1.25
Telegraph India,http://www.telegraphindia.com/1070830/asp/northeast/story_8253906.asp,213,08/26/2007 12:00:00 AM,,Shillong Road at Kuliang in the Jaintia Hills,Telegraph India,Shillong Road at Kuliang in the Jaintia Hills,unknown,landslide,rain,medium,unknown,,,,,,glc,213.0,India,IN,Assam,39982.0,Hāflong,23.42741,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.8339,25.2946,213,2007-08-26,1022.4,41.46,311.6,37.9,20.6,41.6,1.25
Newkerala,http://www.newkerala.com/july.php?action=fullnews&id=56364,215,08/28/2007 12:00:00 AM,,Phesema area at National Highway 39,multiple landslides in  the area causing road closures,Phesema area at National Highway 39,50km,landslide,rain,medium,unknown,1.0,,,,,glc,215.0,India,IN,Nāgāland,92113.0,Kohima,21.1995,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.9136,25.7428,215,2007-08-28,949.5,31.74,342.0,34.0,26.0,40.0,1.25
thestatesman.net,http://www.thestatesman.net/page.arcview.php?clid=10&id=195422&usrsess=1,218,08/29/2007 12:00:00 AM,,"Ghayabari-Tindharia on National Highway 55, near Darjeeling hills",blocked Hwy 55 and railway transportation,"Ghayabari-Tindharia on National Highway 55, near Darjeeling hills",10km,landslide,rain,medium,unknown,,,,,,glc,218.0,India,IN,Bengal,123797.0,Dārjiling,2.88137,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2548,27.0096,218,2007-08-29,2141.1,34.75,21.2,34.7,24.4,40.9,1.25
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39138&typeid=2,220,08/31/2007 12:00:00 AM,,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","multiple events occurring over 3 days, isolated 70 villages along IT roadway","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25km,landslide,rain,medium,unknown,,,,,,glc,220.0,India,IN,Manipur,223523.0,Imphal,36.09995,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.9667,25.1333,220,2007-08-31,1699.2,31.17,240.9,35.9,22.2,41.9,1.25
ExpressIndia,http://cities.expressindia.com/fullstory.php?newsid=254038,221,08/31/2007 12:00:00 AM,,between Bally Halt and Rajchandrapur stations in Kolkata,"blocked railway, 8 feet deep and occurred at 4:40am",between Bally Halt and Rajchandrapur stations in Kolkata,10km,landslide,rain,medium,unknown,,,,,,glc,221.0,India,IN,Bengal,296973.0,Bāli,0.28925,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.3403,22.6461,221,2007-08-31,1206.4,51.94,144.1,30.0,34.9,35.0,1.25
The hindu.com,,231,09/05/2007 12:00:00 AM,,Darjeeling Hills (Lebong - 10 km from Darjeeling,"damaged structures in area, one debris flow hit a jeep at 7:30am",Darjeeling Hills (Lebong - 10 km from Darjeeling,5km,landslide,rain,medium,unknown,15.0,,,,,glc,231.0,India,IN,Bengal,123797.0,Dārjiling,0.79891,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.28121204,27.06826195,231,2007-09-05,1203.3,51.76,252.1,30.0,35.0,35.0,1.25
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&id=169368&usrsess=1,241,09/07/2007 12:00:00 AM,,"National Highway 31A between Rangpo and Tarkhola, in East Sikkim",over 18 places along road disrupted traffic and blocked areas,"National Highway 31A between Rangpo and Tarkhola, in East Sikkim",25km,landslide,rain,large,unknown,,,,,,glc,241.0,India,IN,,6133.0,Singtām,3.70067,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.4883,27.201,241,2007-09-07,1716.2,41.03,299.6,32.6,29.2,38.2,1.25
The hindu.com,http://www.hindu.com/thehindu/holnus/001200709072070.htm,242,09/07/2007 12:00:00 AM,,"Darjeeling Hills, multiple villages in area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",multiple landslides in different villages,"Darjeeling Hills, multiple villages in area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",25km,landslide,rain,medium,unknown,,,,,,glc,242.0,India,IN,Bengal,46427.0,Kārsiyāng,0.6035,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2833,26.8833,242,2007-09-07,2199.2,38.07,94.5,35.0,23.8,41.2,1.25
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39218&typeid=2,247,09/08/2007 12:00:00 AM,,"Lower Shajouba village near Tadubi along NH 39, Manipur ","occurred along NH 39, unsure of exact location","Lower Shajouba village near Tadubi along NH 39, Manipur ",50km,landslide,rain,medium,unknown,,,,,,glc,247.0,India,IN,Manipur,223523.0,Imphal,28.2961,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.9877,25.0604,247,2007-09-08,1657.8,47.46,203.8,35.6,22.8,41.6,1.25
Sikkim times.com,http://sikkimnews.blogspot.com/,251,09/09/2007 12:00:00 AM,,Hingdam village in South Sikkim,"many people displaced, houses damaged",Hingdam village in South Sikkim,50km,landslide,rain,medium,unknown,1.0,,,,,glc,251.0,India,IN,Sikkim,1147.0,Namchi,1.61449,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.35,27.1667,251,2007-09-09,1537.1,43.93,223.6,31.7,31.2,37.1,1.25
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39229&typeid=2,252,09/09/2007 12:00:00 AM,,"Mao in Manipur, Phipema and Chunikhudima in Nagaland","along NH 39, multiple heavy events, blocked traffic significantly","Mao in Manipur, Phipema and Chunikhudima in Nagaland",25km,landslide,rain,medium,unknown,,,,,,glc,252.0,India,IN,Nāgāland,92113.0,Kohima,19.44563,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.1192,25.4993,252,2007-09-09,858.1,37.52,86.3,33.2,27.8,39.0,1.25
e-Pao.net,http://www.e-pao.net/GP.asp?src=Snipp7..120907.sep07,255,09/10/2007 12:00:00 AM,,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,"50 meter stretch on road, timing is unknown but it blocked traffic",Wamkhu village along the Tengnoupal-Joupi road in Chandel district,25km,landslide,rain,medium,unknown,,,,,,glc,255.0,India,IN,Manipur,30418.0,Kakching,29.41705,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.0691,24.2451,255,2007-09-10,825.0,45.97,0.7,29.2,35.6,35.2,1.25
Telegraph India,http://www.telegraphindia.com/1070911/asp/siliguri/story_8300563.asp,256,09/10/2007 12:00:00 AM,,Rhodong village near Rhey in East Sikkim,"destroyed a house, killed 1 and injured 1",Rhodong village near Rhey in East Sikkim,10km,landslide,rain,medium,unknown,,,,,,glc,256.0,India,IN,Sikkim,30700.0,Gangtok,2.17536,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.6236,27.3425,256,2007-09-10,1504.3,43.22,6.8,31.5,31.6,36.9,1.25
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39255&typeid=1,258,09/11/2007 12:00:00 AM,,"NH-39 at Imphal-Moreh section, Lokchao largest event","multiple landslides (6 locations) along NH 39, blocked traffic","NH-39 at Imphal-Moreh section, Lokchao largest event",50km,landslide,rain,medium,unknown,3.0,,,,,glc,258.0,India,IN,Manipur,30418.0,Kakching,10.89373,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.0564,24.4279,258,2007-09-11,1684.6,40.47,348.5,35.8,22.4,41.8,1.25
India times,http://timesofindia.indiatimes.com/India/Flood-hit_Tripura_Mizoram_remain_cut_off_for_seventh_day/articleshow/2380211.cms,259,09/11/2007 12:00:00 AM,,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","on highway, blocking road","Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",unknown,landslide,rain,medium,unknown,,,,,,glc,259.0,India,IN,Meghālaya,25758.0,Nongstoin,0.4599,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.27,25.52,259,2007-09-11,975.8,44.58,7.4,35.6,27.3,37.1,1.25
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=169578,260,09/11/2007 12:00:00 AM,,"National Highway 31A, between Singtam and Rangpo","occurred in afternoon, slide was 40 m long, disrupted traffic","National Highway 31A, between Singtam and Rangpo",5km,debris_flow,rain,medium,unknown,,,,,,glc,260.0,India,IN,,6133.0,Singtām,2.84126,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.4909,27.2084,260,2007-09-11,1489.9,48.61,186.5,31.4,31.7,36.8,1.25
Saharas Samay,http://www.saharasamay.com/samayhtml/articles.aspx?newsid=84791,264,09/13/2007 12:00:00 AM,,Guwahati,"landslide hit house and buried a family, occurred at 3am",Guwahati,10km,landslide,rain,medium,unknown,,,,,,glc,264.0,India,IN,Assam,2000.0,Dispur,5.28094,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8,26.1833,264,2007-09-13,867.8,35.11,86.7,33.3,27.6,39.1,1.25
thestatesman.net,http://www.thestatesman.net/page.arcview.php?clid=10&id=198313&usrsess=1,269,09/18/2007 12:00:00 AM,,Geyzing-Jorethang road and Naya Bazar-Legship road,along multiple roads in province,Geyzing-Jorethang road and Naya Bazar-Legship road,50km,landslide,rain,medium,unknown,,,,,,glc,269.0,India,IN,Sikkim,1147.0,Namchi,16.10912,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2816,27.2872,269,2007-09-18,2279.6,51.61,312.3,35.4,22.9,41.7,1.25
Daily India,http://www.dailyindia.com/show/176095.php/Frequent-landslides-in-Bengal-Sikkim-damage-highways,274,09/20/2007 12:00:00 AM,,"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",Roads were in deplorable condition after multiple days of heavy rain caused landslides in area,"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",50km,landslide,rain,medium,unknown,,,,,,glc,274.0,India,IN,Bengal,43000.0,Kālimpang,2.26284,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.4572,27.0875,274,2007-09-20,2429.5,48.35,135.7,36.1,21.2,42.7,1.25
Newkerala,http://www.newkerala.com/oct.php?action=fullnews&id=7498,285,09/29/2007 12:00:00 AM,,"National Highway, 45 Aizwal (Mizoram)","unsure of exact day, landslides blocked road somewhere in province","National Highway, 45 Aizwal (Mizoram)",50km,landslide,rain,medium,unknown,,,,,,glc,285.0,India,IN,Mizoram,25000.0,Kolasib,10.56357,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.6921,24.1293,285,2007-09-29,1438.2,40.83,125.7,33.9,26.2,39.9,1.25
kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39638&typeid=2,313,10/16/2007 12:00:00 AM,,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland","occurred at 2pm, stranded vehicles on road between cities, multiple events on road","NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland",5km,landslide,rain,large,unknown,,,,,,glc,313.0,India,IN,Nāgāland,92113.0,Kohima,10.39298,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.0132,25.7055,313,2007-10-16,1128.5,32.77,133.1,35.6,22.4,42.0,1.25
e-Pao.net,http://www.e-pao.net/GP.asp?src=5..211007.oct07,319,10/19/2007 12:00:00 AM,,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur","occurred at 3 places along road (23 km), unsure of exact date within past 5 days","Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",50km,landslide,rain,medium,unknown,,,,,,glc,319.0,India,IN,Nāgāland,92113.0,Kohima,26.23523,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.1162,25.4379,319,2007-10-19,658.6,39.78,114.3,31.4,31.8,36.8,1.25
Hmar.net,http://hmar.net/?p=1870,322,10/21/2007 12:00:00 AM,,National Highway 53 at Nungba in Tamenglong district of Manipur,blocked road,National Highway 53 at Nungba in Tamenglong district of Manipur,25km,landslide,rain,medium,unknown,,,,,,glc,322.0,India,IN,Assam,12871.0,Lakhipur,43.16287,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.4333,24.75,322,2007-10-21,883.7,30.17,267.3,33.4,27.3,39.3,1.25
Telegraph India,http://www.telegraphindia.com/1080521/jsp/northeast/story_9297276.jsp,545,05/20/2008 12:00:00 AM,,"A Cachar District village, near village of Srinager, Assam",villagers were cutting soil/earth for a road,"A Cachar District village, near village of Srinager, Assam",50km,mudslide,mining,medium,unknown,5.0,,,,,glc,545.0,India,IN,Assam,152393.0,Silchar,17.99274,09/15/2014 03:47:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.8411,24.9849,545,2008-05-20,1221.1,39.45,64.8,36.4,20.6,43.0,1.25
daijiworld,"http://www.daijiworld.com/news/news_disp.asp?n_id=47500&n_tit=Mangalore:+Monsoon+Continues+to+Strike;+Landslide,+Houses+Collapse",580,06/09/2008 12:00:00 AM,,"near Kuloor church, in Manipur along National Highway","difficult to determine location, heavy rains throughout Manipur state","near Kuloor church, in Manipur along National Highway",unknown,landslide,monsoon,medium,unknown,,,,,,glc,580.0,India,IN,Manipur,44493.0,Thoubāl,2.9361,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.9784,24.6596,580,2008-06-09,1165.1,39.96,46.1,31.8,30.4,37.8,1.25
ukpress.google,http://ukpress.google.com/article/ALeqM5iM8gWKcS4OLf66hwzNMnaybAaZYA,585,06/14/2008 12:00:00 AM,,"Itanagar-Naharlagun, Arunachal Pradesh","bodies pulled from debris in and around Itnagar, 300 mud huts washed away at banks of Dikrong river","Itanagar-Naharlagun, Arunachal Pradesh",25km,landslide,rain,large,unknown,21.0,,,,,glc,585.0,India,IN,Arunāchal Pradesh,44971.0,Itānagar,2.34889,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6287,27.0998,585,2008-06-14,956.4,51.36,253.1,28.3,36.4,35.3,1.25
Telegraph India,http://www.telegraphindia.com/1080616/jsp/northeast/story_9416169.jsp,587,06/15/2008 12:00:00 AM,,"Lakhimpur district, Bihpuria, Assam","heavy flooding and landslides in Assam and Arunachal Pradesh, difficult to determine if casualties were from flooding or landslides","Lakhimpur district, Bihpuria, Assam",25km,landslide,downpour,medium,unknown,17.0,,,,,glc,587.0,India,IN,Assam,59841.0,North Lakhimpur,0.75347,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.0989,27.2298,587,2008-06-15,1687.0,51.58,159.7,31.9,28.7,39.4,1.25
kanglaonline,http://www.kanglaonline.com/index.php?template=headline&newsid=42473&typeid=2,594,06/19/2008 12:00:00 AM,,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",mudslide 30-40 feet long,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",25km,mudslide,monsoon,medium,unknown,,,,,,glc,594.0,India,IN,Manipur,223523.0,Imphal,18.23429,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.8275,24.9336,594,2008-06-19,1065.3,46.98,7.3,31.0,31.9,37.0,1.25
thestatesman,http://www.thestatesman.net/page.news.php?clid=10&id=209560&usrsess=1,595,06/20/2008 12:00:00 AM,,Kurseong sub division,occurred all over region,Kurseong sub division,25km,landslide,rain,medium,unknown,,,,,,glc,595.0,India,IN,Bengal,46427.0,Kārsiyāng,0.2804,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2778,26.885,595,2008-06-20,2236.3,37.21,203.3,35.2,23.3,41.5,1.25
savethehills.blogspot,http://savethehills.blogspot.com/2008/06/preliminary-report-on-mamring-kurseong.html,614,06/29/2008 12:00:00 AM,,"Kurseong sub division, Mamring","A major landslide took place in Mamring, a village of 170 houses in Kurseong subdivision at around 0830hrs today (29Jun2008).Luckily there were no casualties, but the area is still in danger because of the huge boulders from above which threaten to flatten the village at any time.","Kurseong sub division, Mamring",5km,landslide,unknown,medium,unknown,,,,,,glc,614.0,India,IN,Bengal,46427.0,Kārsiyāng,0.87238,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.28,26.89,614,2008-06-29,1207.7,38.08,216.2,30.0,34.9,35.0,1.25
dailyindia,http://www.dailyindia.com/show/255019.php/Landslides-block-Himalayan-road-cuts-Sikkim-from-India,620,06/30/2008 12:00:00 AM,,Kalimpong,"Monsoon rains triggered heavy landslides in Kalimpong in Himalayas on Monday, snapping road link to Sikkim with rest of India.  ",Kalimpong,5km,landslide,downpour,medium,unknown,,,,,,glc,620.0,India,IN,Bengal,43000.0,Kālimpang,1.49112,07/01/2015 07:09:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.482,27.0771,620,2008-06-30,1298.2,46.84,2.2,30.5,33.9,35.6,1.25
kanglaonline,http://www.kanglaonline.com/index.php?template=headline&newsid=43094&typeid=1,692,08/07/2008 12:00:00 AM,,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland","Torrential rains during monsoon caused problems in Nagaland and Manipur, resulting in major landslides damaging bridges and sinking roads along the National Highway-39 and also in different parts of Nagaland. Occurred sometime 7th to 22nd","National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",10km,landslide,downpour,medium,unknown,,,,,,glc,692.0,India,IN,Nāgāland,92113.0,Kohima,7.87804,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.04,25.705,692,2008-08-07,651.4,32.03,42.1,31.3,32.0,36.7,1.25
morungexpress,http://www.morungexpress.com/regional/1615.html,714,08/14/2008 12:00:00 AM,,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",landslides triggered in various parts of Arunachal Pradesh,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",50km,landslide,rain,medium,unknown,,,,,,glc,714.0,India,IN,Assam,59841.0,North Lakhimpur,13.00939,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.0,27.163,714,2008-08-14,959.8,45.65,253.2,28.3,36.4,35.3,1.25
