id,sample_type,latitude,longitude,date,slope,clay_percent,rain_day_minus_3_mm,rain_day_minus_2_mm,rain_day_minus_1_mm,rain_event_day_mm,target
620_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2008-06-30,1.7,23.5,26.4,31.0,142.1,18.5,0
714,real_landslide_steep_rain,27.163,94.0,2008-08-14,45.65,28.3,35.6,8.6,10.2,10.8,1
714_dry,real_dry_season_steep_dry,27.163,94.0,2008-03-17,45.65,28.3,22.8,9.8,6.3,0.0,0
714_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2008-08-14,1.8,21.0,20.0,20.5,25.6,18.4,0
731,real_landslide_steep_rain,26.138,94.25,2008-08-19,40.19,31.1,11.6,10.0,23.8,38.9,1
731_dry,real_dry_season_steep_dry,26.138,94.25,2008-03-22,40.19,31.1,0.7,2.9,7.6,7.2,0
731_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2008-08-19,2.1,22.0,21.9,8.8,26.2,113.6,0
755,real_landslide_steep_rain,27.337,88.609,2008-08-28,49.98,37.7,58.4,56.3,65.9,76.1,1
755_dry,real_dry_season_steep_dry,27.337,88.609,2008-03-31,49.98,37.7,3.1,0.5,1.0,1.1,0
755_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2008-08-28,2.4,21.5,17.4,26.8,23.9,68.3,0
760,real_landslide_steep_rain,25.67,94.1066,2008-08-29,37.23,36.6,1.2,7.5,7.8,29.0,1
760_dry,real_dry_season_steep_dry,25.67,94.1066,2008-04-01,37.23,36.6,0.0,4.0,1.8,5.0,0
760_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2008-08-29,1.8,23.0,18.4,23.4,75.9,113.4,0
870,real_landslide_steep_rain,27.4,92.35,2008-10-29,42.6,31.9,16.3,97.4,13.2,0.2,1
870_dry,real_dry_season_steep_dry,27.4,92.35,2008-06-01,42.6,31.9,42.6,52.6,47.7,39.7,0
870_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2008-10-29,1.7,23.5,6.0,72.3,0.0,0.0,0
1030,real_landslide_steep_rain,27.04357147,88.26522126,2009-05-26,45.95,31.8,17.0,5.4,31.3,145.9,1
1030_dry,real_dry_season_steep_dry,27.04357147,88.26522126,2008-12-27,45.95,31.8,3.9,6.9,9.0,5.3,0
1030_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2009-05-26,1.6,22.0,1.2,1.4,27.9,36.9,0
869,real_landslide_steep_rain,27.2333,94.1167,2008-10-29,34.47,35.7,8.4,36.4,0.8,0.0,1
869_dry,real_dry_season_steep_dry,27.2333,94.1167,2008-06-01,34.47,35.7,6.7,5.5,7.2,17.7,0
869_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2008-10-29,1.5,24.0,1.7,51.0,0.7,0.0,0
868,real_landslide_steep_rain,26.3333,91.25,2008-10-29,27.66,34.5,6.5,63.2,0.0,0.0,1
868_dry,real_dry_season_steep_dry,26.3333,91.25,2008-06-01,27.66,34.5,3.1,23.1,20.0,19.2,0
868_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2008-10-29,1.9,22.5,8.5,41.1,0.0,0.0,0
1031,real_landslide_steep_rain,26.8836,88.2791,2009-05-26,36.26,37.3,8.2,0.5,33.1,177.4,1
1031_dry,real_dry_season_steep_dry,26.8836,88.2791,2008-12-27,36.26,37.3,0.2,3.5,3.8,0.1,0
1031_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2009-05-26,1.8,21.0,0.0,0.7,17.4,25.2,0
1032,real_landslide_steep_rain,27.0095,88.2592,2009-05-26,41.37,36.1,17.0,5.4,31.3,145.9,1
1032_dry,real_dry_season_steep_dry,27.0095,88.2592,2008-12-27,41.37,36.1,3.9,6.9,9.0,5.3,0
1032_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2009-05-26,2.1,22.0,0.0,13.4,30.1,70.6,0
1037,real_landslide_steep_rain,26.89,88.47,2009-06-17,50.1,37.2,2.3,3.1,3.0,36.1,1
1037_dry,real_dry_season_steep_dry,26.89,88.47,2009-01-18,50.1,37.2,0.0,0.0,0.0,0.1,0
1037_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2009-06-17,2.4,21.5,3.1,6.8,3.9,5.8,0
1050,real_landslide_steep_rain,26.87324244,88.29184021,2009-07-03,43.25,30.2,30.6,47.1,61.8,37.1,1
1050_dry,real_dry_season_steep_dry,26.87324244,88.29184021,2009-02-03,43.25,30.2,5.0,0.9,2.5,0.4,0
1050_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2009-07-03,1.8,23.0,45.3,69.3,20.3,16.2,0
1054,real_landslide_steep_rain,26.8572,88.3143,2009-07-22,51.49,30.1,9.2,3.2,17.4,18.9,1
1054_dry,real_dry_season_steep_dry,26.8572,88.3143,2009-02-22,51.49,30.1,0.0,0.0,0.0,0.0,0
1054_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2009-07-22,1.9,22.5,2.0,3.0,9.5,14.6,0
1055,real_landslide_steep_rain,26.8826,88.2788,2009-07-22,37.49,35.1,5.4,0.8,8.3,19.1,1
1055_dry,real_dry_season_steep_dry,26.8826,88.2788,2009-02-22,37.49,35.1,0.8,3.4,4.7,0.7,0
1055_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2009-07-22,1.5,24.0,24.1,0.3,3.6,1.9,0
1061,real_landslide_steep_rain,27.478,88.527,2009-07-01,34.19,36.6,49.7,41.1,26.1,34.5,1
1061_dry,real_dry_season_steep_dry,27.478,88.527,2009-02-01,34.19,36.6,36.7,36.7,33.6,21.9,0
1061_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2009-07-01,1.6,22.0,26.5,45.9,44.3,31.2,0
1056,real_landslide_steep_rain,27.04,88.264,2009-07-22,49.01,36.1,9.4,4.0,5.3,31.2,1
1056_dry,real_dry_season_steep_dry,27.04,88.264,2009-02-22,49.01,36.1,1.9,6.5,8.4,4.3,0
1056_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2009-07-22,1.7,23.5,22.5,11.5,7.0,8.9,0
1084,real_landslide_steep_rain,27.7,92.8,2009-08-12,44.69,28.7,33.2,49.2,55.3,152.8,1
1084_dry,real_dry_season_steep_dry,27.7,92.8,2009-03-15,44.69,28.7,30.7,2.0,1.4,6.9,0
1084_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2009-08-12,1.8,21.0,16.7,19.5,30.3,29.5,0
1088,real_landslide_steep_rain,26.8867642,88.28044714,2009-08-16,36.3,36.8,22.7,73.4,17.0,37.1,1
1088_dry,real_dry_season_steep_dry,26.8867642,88.28044714,2009-03-19,36.3,36.8,7.0,0.0,2.0,0.4,0
1088_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2009-08-16,2.1,22.0,45.4,18.6,29.4,11.3,0
1090,real_landslide_steep_rain,26.9599,88.268,2009-08-16,48.62,33.7,22.7,73.4,17.0,37.1,1
1090_dry,real_dry_season_steep_dry,26.9599,88.268,2009-03-19,48.62,33.7,7.0,0.0,2.0,0.4,0
1090_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2009-08-16,1.8,23.0,35.4,34.6,22.7,49.9,0
1089,real_landslide_steep_rain,26.7914,88.363,2009-08-16,35.5,31.7,31.2,60.7,21.0,22.7,1
1089_dry,real_dry_season_steep_dry,26.7914,88.363,2009-03-19,35.5,31.7,0.2,0.0,0.0,0.0,0
1089_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2009-08-16,2.4,21.5,41.4,71.9,21.8,30.7,0
1091,real_landslide_steep_rain,27.02459801,88.43849551,2009-08-16,49.31,37.5,38.4,148.6,22.9,137.5,1
1091_dry,real_dry_season_steep_dry,27.02459801,88.43849551,2009-03-19,49.31,37.5,0.0,0.0,0.0,0.0,0
1091_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2009-08-16,1.9,22.5,111.4,18.8,19.1,23.1,0
1094,real_landslide_steep_rain,27.15977181,88.63411246,2009-08-16,50.86,36.5,38.4,148.6,22.9,137.5,1
1094_dry,real_dry_season_steep_dry,27.15977181,88.63411246,2009-03-19,50.86,36.5,0.0,0.0,0.0,0.0,0
1094_flat,real_monsoon_flat_valley_rain,26.3463,92.6841,2009-08-16,1.6,22.0,47.8,34.1,44.6,18.6,0
1092,real_landslide_steep_rain,26.74452462,88.40011959,2009-08-16,51.36,33.6,41.4,71.9,21.8,30.7,1
1092_dry,real_dry_season_steep_dry,26.74452462,88.40011959,2009-03-19,51.36,33.6,0.0,0.0,0.0,0.2,0
1092_flat,real_monsoon_flat_valley_rain,26.0207,89.9744,2009-08-16,1.5,24.0,26.3,5.6,11.9,15.5,0
1093,real_landslide_steep_rain,26.88211522,88.3195318,2009-08-16,37.54,35.8,22.7,73.4,17.0,37.1,1
1093_dry,real_dry_season_steep_dry,26.88211522,88.3195318,2009-03-19,37.54,35.8,7.0,0.0,2.0,0.4,0
1093_flat,real_monsoon_flat_valley_rain,26.3212,91.0065,2009-08-16,1.7,23.5,43.7,16.8,21.9,11.6,0
1102,real_landslide_steep_rain,27.2644,88.1365,2009-08-19,45.54,37.5,48.6,89.4,27.2,34.8,1
1102_dry,real_dry_season_steep_dry,27.2644,88.1365,2009-03-22,45.54,37.5,4.2,7.2,12.9,18.5,0
1102_flat,real_monsoon_flat_valley_rain,27.4728,94.912,2009-08-19,1.8,21.0,9.0,8.2,11.9,8.7,0
1106,real_landslide_steep_rain,26.8992,88.1667,2009-08-20,36.85,32.6,78.6,31.4,20.8,111.4,1
1106_dry,real_dry_season_steep_dry,26.8992,88.1667,2009-03-23,36.85,32.6,3.2,11.1,14.1,8.9,0
1106_flat,real_monsoon_flat_valley_rain,26.1445,91.7362,2009-08-20,2.1,22.0,11.0,15.6,13.5,21.4,0
1108,real_landslide_steep_rain,24.9925,93.5,2009-08-20,30.77,36.4,3.0,7.9,6.9,9.4,1
1108_dry,real_dry_season_steep_dry,24.9925,93.5,2009-03-23,30.77,36.4,0.3,0.3,0.2,1.3,0
1108_flat,real_monsoon_flat_valley_rain,26.5413,88.7196,2009-08-20,1.8,23.0,62.8,42.1,34.3,31.1,0
1107,real_landslide_steep_rain,27.0736,88.4779,2009-08-20,39.07,37.1,99.4,29.2,23.7,43.3,1
1107_dry,real_dry_season_steep_dry,27.0736,88.4779,2009-03-23,39.07,37.1,0.0,0.2,0.6,1.3,0
1107_flat,real_monsoon_flat_valley_rain,26.7271,88.3953,2009-08-20,2.4,21.5,35.9,38.0,23.5,38.6,0
1109,real_landslide_steep_rain,25.5215,93.1645,2009-08-20,29.74,38.3,0.0,3.6,3.6,2.7,1
1109_dry,real_dry_season_steep_dry,25.5215,93.1645,2009-03-23,29.74,38.3,0.2,0.3,1.9,0.3,0
1109_flat,real_monsoon_flat_valley_rain,26.6528,92.7926,2009-08-20,1.9,22.5,10.0,17.0,15.1,19.4,0
