latitude,longitude,elevation,slope,aspect,clay_percent,sand_percent,silt_percent,bulk_density,rain_event_day_mm,rain_3d_sum_mm,rain_7d_sum_mm,target
27.9032,96.174,1689.7,49.51,123.8,31.9,28.7,39.4,1.2,51.3,80.0,89.0,1
25.1553,93.028,1045.0,39.2,168.4,38.1,20.1,41.8,1.2,0.4282639967421408,3.840631181893848,0.16279956605553636,0
27.8997,93.3497,2638.3,43.97,142.8,36.7,18.7,44.7,1.2,0.7296609496342082,2.2823466625242506,6.559424598474426,0
25.1718,93.123,1348.9,32.47,216.0,41.0,15.0,44.0,1.2,0.5772949028253462,0.07822544171741264,6.080018191167754,0
26.0207,89.9744,38.0,1.5,6.7,24.0,45.0,33.0,1.2,5.4,14.9,28.2,0
27.1141,88.4658,1374.6,48.9,255.9,30.9,33.0,36.1,1.2,45.9,193.5,423.4,1
26.1966,91.802,721.9,41.62,224.9,32.0,30.6,37.5,1.2,19.0,48.3,163.3,1
28.1193,95.1645,2016.5,46.32,94.3,33.6,25.2,41.2,1.2,10.4,21.7,21.7,1
27.0136,92.6351,1205.4,44.65,186.1,29.5,33.8,36.7,1.2,0.8546450539959323,3.5942912013999018,3.510677574386995,0
25.1019,93.3729,1353.4,34.46,159.3,33.3,27.5,39.3,1.2,3.6,34.9,72.2,1
26.1445,91.7362,55.0,2.1,342.0,22.0,45.0,33.0,1.2,15.0,117.1,157.2,0
25.4916,91.2698,997.6,31.52,260.1,35.8,26.9,37.3,1.2,1.1743616048642203,3.206910536821362,5.117422535141079,0
26.1966,91.802,721.9,41.62,224.9,32.0,30.6,37.5,1.2,1.0848898894901455,3.2820865102343366,7.695613431145141,0
27.337,88.609,2744.2,49.98,178.7,37.7,17.6,44.7,1.2,76.1,198.3,402.7,1
26.7271,88.3953,120.0,2.4,116.7,21.5,45.0,33.0,1.2,6.0,22.5,96.3,0
26.8826,88.2806,1271.1,34.68,109.6,30.4,34.2,35.4,1.2,1.3558314691453766,3.262131149468123,6.003963745008864,0
25.3612,92.2845,1548.5,44.83,350.1,39.8,17.9,42.3,1.2,1.2446968112187378,2.1643626229183828,5.6346325673188105,0
26.7215,95.0283,1193.5,38.51,207.7,36.2,21.1,42.7,1.2,41.1,84.4,200.3,1
26.1445,91.7362,55.0,2.1,336.0,22.0,45.0,33.0,1.2,54.9,131.29999999999998,284.5,0
27.1176,88.1069,2185.8,50.84,310.2,34.9,23.9,41.2,1.2,96.7,187.7,513.0,1
26.1984,94.8158,854.7,35.58,338.2,33.2,27.9,38.9,1.2,0.5066957334479285,2.4801141205466126,4.868544255274943,0
25.203,90.5573,753.1,39.85,180.1,34.0,30.9,35.0,1.2,0.9926141535943755,1.9013095671587723,4.474716898360265,0
26.1445,91.7362,55.0,2.1,251.0,22.0,45.0,33.0,1.2,10.7,31.2,56.8,0
26.7271,88.3953,120.0,2.4,159.7,21.5,45.0,33.0,1.2,1.8,71.60000000000001,136.8,0
24.0896,91.4663,996.9,35.24,199.9,34.4,25.1,40.5,1.2,57.9,174.7,358.7,1
27.1761,88.5287,1255.7,39.09,217.3,30.3,34.4,35.3,1.2,43.3,96.2,543.0,1
26.3212,91.0065,48.0,1.7,170.0,23.5,45.0,33.0,1.2,37.1,127.5,234.1,0
25.1775,93.0123,1288.9,32.59,321.7,40.4,15.2,44.4,1.2,183.9,276.3,332.6,1
25.4191,94.1079,926.1,33.64,161.0,33.8,26.5,39.7,1.2,1.313853395316639,1.4370602110706385,5.368143090302249,0
26.0093,94.5238,504.0,42.0,72.2,30.0,34.9,35.0,1.2,1.36979814066471,2.9112929071702314,0.08847448646663025,0
26.89,88.28,1207.7,38.08,216.2,30.0,34.9,35.0,1.2,14.6,57.8,110.1,1
27.1176,88.1069,2185.8,50.84,310.2,34.9,23.9,41.2,1.2,1.0786556484075793,3.8473597204527605,6.9356928518092475,0
24.1419,94.1078,1381.3,45.26,160.1,33.5,27.1,39.5,1.2,17.3,304.90000000000003,508.4,1
26.1768,91.7702,560.9,38.18,290.4,30.5,33.8,35.7,1.2,0.542213503676074,3.655097020338851,2.481845232096446,0
26.8716,94.9921,782.0,40.0,155.3,32.5,29.4,38.1,1.2,1.100454318102865,1.7265920208665437,1.8021409092575338,0
28.0822,96.5316,1919.1,47.33,344.4,33.1,26.2,40.7,1.2,0.6819298946749031,1.8728782178203902,7.30908306445922,0
28.0822,96.5316,1919.1,47.33,344.4,33.1,26.2,40.7,1.2,7.0,20.9,134.5,1
26.7271,88.3953,120.0,2.4,262.5,21.5,45.0,33.0,1.2,11.5,57.599999999999994,128.4,0
27.4728,94.912,108.0,1.8,353.9,21.0,45.0,33.0,1.2,26.4,50.8,115.5,0
24.808,93.117,861.1,29.87,266.4,33.2,27.8,39.0,1.2,8.9,45.4,91.6,1
26.88405686,88.28087032,2167.7,34.87,237.8,34.8,24.1,41.0,1.2,111.4,163.6,392.4,1
27.7167,88.5577,2286.4,41.21,348.4,35.4,22.8,41.8,1.2,12.1,39.1,110.1,1
27.4728,94.912,108.0,1.8,320.9,21.0,45.0,33.0,1.2,177.4,211.0,279.5,0
26.6528,92.7926,68.0,1.9,169.0,22.5,45.0,33.0,1.2,10.2,21.7,57.5,0
25.1175,92.8573,841.9,30.72,304.7,36.2,24.2,39.7,1.2,0.5904656779254941,2.281473083469164,6.317371275517273,0
26.1445,91.7362,55.0,2.1,23.4,22.0,45.0,33.0,1.2,29.0,46.5,129.5,0
26.3212,91.0065,48.0,1.7,348.4,23.5,45.0,33.0,1.2,12.1,39.1,110.1,0
24.7505,93.4221,1017.3,41.03,128.7,34.6,24.7,40.7,1.2,0.6914821469684562,0.34210949008103153,4.670857734059041,0
23.0137,91.7174,1298.7,41.41,319.9,37.1,19.0,43.9,1.2,0.7746788180740483,3.478937699039858,0.10791924425371224,0
26.0838,94.564,1242.3,40.58,101.7,36.6,20.2,43.2,1.2,0.3429958146774192,1.3800194767883345,5.495571785035382,0
26.284,94.5808,1351.2,33.33,178.0,37.6,18.0,44.5,1.2,9.3,30.0,77.5,1
26.5413,88.7196,85.0,1.8,126.4,23.0,45.0,33.0,1.2,29.8,80.0,107.0,0
27.3034,93.804,1382.1,46.34,117.6,30.4,31.9,37.7,1.2,27.1,68.1,106.9,1
27.1758,88.5294,2533.3,38.25,318.0,36.7,20.0,43.3,1.2,0.0,0.5,11.4,1
26.5413,88.7196,85.0,1.8,268.0,23.0,45.0,33.0,1.2,10.3,65.6,231.6,0
28.4298,95.8776,1632.2,49.14,14.6,31.7,29.3,39.1,1.2,0.2846569001411486,2.192999820424984,3.5281668836560476,0
25.7658,93.9413,1241.0,27.58,281.6,36.6,20.2,43.2,1.2,9.9,97.7,161.8,1
26.7914,88.363,1546.4,35.5,295.8,31.7,31.1,37.2,1.2,22.7,104.4,217.9,1
26.3463,92.6841,62.0,1.6,154.9,22.0,45.0,33.0,1.2,1.1,10.0,24.4,0
26.7271,88.3953,120.0,2.4,67.6,21.5,45.0,33.0,1.2,15.8,34.4,89.1,0
27.0987,93.816,2563.4,45.44,357.3,36.3,19.4,44.2,1.2,62.9,133.0,211.2,1
23.5397,93.3783,1296.9,41.7,229.8,32.8,28.4,38.8,1.2,3.1,29.2,62.3,1
26.3212,91.0065,48.0,1.7,161.0,23.5,45.0,33.0,1.2,6.8,28.5,128.8,0
26.5413,88.7196,85.0,1.8,130.1,23.0,45.0,33.0,1.2,34.6,93.1,299.8,0
26.87324244,88.29184021,1238.7,43.25,144.9,30.2,34.6,35.2,1.2,37.1,146.0,426.0,1
25.8833,91.2,1273.7,45.28,161.1,37.8,22.4,39.8,1.2,0.5930438171812942,1.0157117772319078,2.2173596249032874,0
27.13862165,88.22551799,2322.9,35.71,133.3,35.6,22.4,42.0,1.2,0.7821255288325586,3.317182939057647,1.842463118821108,0
23.7365,92.7146,864.2,33.13,109.8,29.5,35.0,35.5,1.2,0.27514333462916707,0.07532394113199059,4.8933669761413565,0
25.0604,93.9877,1657.8,47.46,203.8,35.6,22.8,41.6,1.2,21.5,83.1,176.3,1
27.2743,92.9064,2622.7,38.56,250.5,36.6,18.8,44.6,1.2,12.4,126.0,209.1,1
26.885,88.2778,2236.3,37.21,203.3,35.2,23.3,41.5,1.2,17.3,101.6,246.3,1
26.3463,92.6841,62.0,1.6,181.4,22.0,45.0,33.0,1.2,6.4,39.3,179.0,0
25.16,93.686,1600.6,47.67,22.2,35.2,23.7,41.2,1.2,0.9613249857444215,1.6374890928161947,2.3256919329979464,0
26.5413,88.7196,85.0,1.8,132.2,23.0,45.0,33.0,1.2,12.3,36.6,107.8,0
26.5413,88.7196,85.0,1.8,49.3,23.0,45.0,33.0,1.2,50.4,105.5,183.3,0
25.5098,93.8794,922.1,43.53,111.4,29.9,34.1,35.9,1.2,21.8,88.60000000000001,200.3,1
26.3212,91.0065,48.0,1.7,239.2,23.5,45.0,33.0,1.2,121.6,142.5,194.8,0
26.1963,91.8074,1329.7,41.54,357.2,37.4,18.4,44.2,1.2,10.0,34.4,145.9,1
27.0257,88.4301,1384.6,39.86,220.2,30.9,32.9,36.2,1.2,0.7562814934958839,3.3074870812719857,3.3751352453271855,0
26.0207,89.9744,38.0,1.5,131.0,24.0,45.0,33.0,1.2,0.8,15.9,51.1,0
26.7271,88.3953,120.0,2.4,135.7,21.5,45.0,33.0,1.2,0.0,3.0,36.9,0
26.7271,88.3953,120.0,2.4,63.7,21.5,45.0,33.0,1.2,18.8,38.5,63.8,0
26.5413,88.7196,85.0,1.8,36.8,23.0,45.0,33.0,1.2,3.6,13.9,135.9,0
25.52,91.27,975.8,44.58,7.4,35.6,27.3,37.1,1.2,0.9606307248462276,3.6468342533924383,2.8607549474359937,0
25.72,94.6219,952.1,43.13,256.2,30.2,33.7,36.2,1.2,1.3525119755919173,2.7382675028638186,6.001492048295061,0
26.3463,92.6841,62.0,1.6,110.2,22.0,45.0,33.0,1.2,21.8,88.60000000000001,200.3,0
25.7658,93.9413,1241.0,27.58,281.6,36.6,20.2,43.2,1.2,0.8498828749654004,0.043482990556430234,1.467186384791927,0
25.0985,94.3619,2044.1,48.0,34.5,38.6,16.9,44.6,1.2,5.7,7.3,16.9,1
27.4728,94.912,108.0,1.8,330.8,21.0,45.0,33.0,1.2,11.7,18.7,151.3,0
26.7271,88.3953,120.0,2.4,109.2,21.5,45.0,33.0,1.2,69.1,156.5,232.8,0
24.8628,94.4182,1417.4,39.55,161.1,33.7,26.5,39.7,1.2,12.3,22.700000000000003,64.3,1
26.3463,92.6841,62.0,1.6,94.5,22.0,45.0,33.0,1.2,200.5,391.4,496.5,0
26.1445,91.7362,55.0,2.1,179.1,22.0,45.0,33.0,1.2,11.4,16.0,50.6,0
24.5202,92.7239,755.6,28.51,154.2,32.3,29.9,37.8,1.2,28.0,56.5,109.8,1
26.0207,89.9744,38.0,1.5,103.4,24.0,45.0,33.0,1.2,13.0,40.0,78.3,0
28.0791,96.5242,998.3,51.96,146.0,28.5,36.0,35.5,1.2,0.026615231637364456,1.9431135757490074,6.551524673360791,0
26.5413,88.7196,85.0,1.8,48.9,23.0,45.0,33.0,1.2,13.0,45.7,109.0,0
26.7271,88.3953,120.0,2.4,352.5,21.5,45.0,33.0,1.2,12.2,65.0,136.4,0
26.6528,92.7926,68.0,1.9,317.1,22.5,45.0,33.0,1.2,28.2,134.9,317.7,0
27.2872,88.2816,2279.6,51.61,312.3,35.4,22.9,41.7,1.2,3.0,19.1,53.5,1
25.0634,94.3415,899.1,47.82,74.7,29.8,34.5,35.8,1.2,52.0,119.9,204.2,1
26.8546,88.3373,1733.3,43.61,336.0,32.7,29.0,38.3,1.2,0.5135116371599586,2.380883412220001,4.958395057807113,0
26.8992,88.1667,1725.1,36.85,83.8,32.6,29.1,38.3,1.2,0.4869370304074604,3.2765043129441156,5.795921135052396,0
26.6528,92.7926,68.0,1.9,201.4,22.5,45.0,33.0,1.2,0.2,0.5,11.8,0
26.5413,88.7196,85.0,1.8,357.6,23.0,45.0,33.0,1.2,55.8,142.1,184.5,0
26.0207,89.9744,38.0,1.5,120.8,24.0,45.0,33.0,1.2,28.3,87.2,99.8,0
25.3833,94.1884,1165.0,41.4,242.6,35.9,21.7,42.4,1.2,8.1,41.8,155.7,1
26.6528,92.7926,68.0,1.9,136.7,22.5,45.0,33.0,1.2,16.2,39.4,80.7,0
26.7271,88.3953,120.0,2.4,33.9,21.5,45.0,33.0,1.2,14.0,31.8,120.0,0
25.6278,94.1051,1196.6,46.67,299.0,32.1,29.9,38.1,1.2,1.045986148327963,3.9063352179155313,7.759788084790382,0
28.9986,94.8885,958.0,50.17,109.2,28.3,36.4,35.3,1.2,69.1,156.5,232.8,1
23.7281,92.7175,1476.4,31.29,18.7,34.2,25.6,40.2,1.2,6.4,21.6,88.6,1
26.3463,92.6841,62.0,1.6,40.9,22.0,45.0,33.0,1.2,31.7,70.4,125.4,0
27.0011,93.7273,1545.8,34.85,48.9,31.2,30.2,38.6,1.2,0.40068027210412094,1.0000255302801597,4.985214876188718,0
27.8837,93.0515,1340.1,48.3,152.8,30.2,32.4,37.4,1.2,17.7,31.9,156.2,1
25.4379,94.1162,658.6,39.78,114.3,31.4,31.8,36.8,1.2,1.4799792604908628,1.3363829705893573,7.954732656256567,0
26.6528,92.7926,68.0,1.9,36.5,22.5,45.0,33.0,1.2,18.9,39.5,94.0,0
26.1445,91.7362,55.0,2.1,228.1,22.0,45.0,33.0,1.2,27.7,44.4,100.7,0
25.9702,91.8587,1423.0,34.93,130.0,38.9,20.0,41.1,1.2,1.410072684152682,3.5446003423389856,5.971349277722053,0
27.8458,95.2253,1390.9,43.41,333.8,30.5,31.8,37.7,1.2,55.6,107.4,253.8,1
26.3212,91.0065,48.0,1.7,220.2,23.5,45.0,33.0,1.2,14.3,32.4,101.2,0
25.463,92.2121,1775.6,40.86,249.6,41.5,15.0,43.5,1.2,0.09265314617406623,3.7977014817502996,0.20324190148305465,0
26.8712,88.3052,2188.3,51.98,130.2,34.9,23.9,41.2,1.2,0.07233142873851223,0.21788468221469337,1.301605648086551,0
24.8063,93.9482,1629.6,31.18,131.0,35.4,23.2,41.4,1.2,0.9762837013626091,2.405685857699999,6.954591374249298,0
26.6528,92.7926,68.0,1.9,11.8,22.5,45.0,33.0,1.2,5.0,13.7,165.7,0
27.13862165,88.22551799,2322.9,35.71,133.3,35.6,22.4,42.0,1.2,32.8,72.3,467.2,1
25.1553,93.028,1045.0,39.2,168.4,38.1,20.1,41.8,1.2,15.3,96.8,137.6,1
24.9356,93.8443,1652.6,37.09,167.6,35.6,22.9,41.6,1.2,10.0,52.2,88.0,1
26.3212,91.0065,48.0,1.7,135.4,23.5,45.0,33.0,1.2,1.3,16.5,49.3,0
26.1407,91.7645,1368.0,40.84,214.7,37.7,17.6,44.6,1.2,0.6424849602190296,3.096384556575469,7.82925149610487,0
26.1619,91.7697,932.1,28.86,233.3,33.8,26.4,39.8,1.2,7.1,38.6,223.1,1
26.0207,89.9744,38.0,1.5,316.2,24.0,45.0,33.0,1.2,28.0,56.5,109.8,0
23.72988966,92.71495623,1207.7,33.17,83.3,32.1,29.7,38.1,1.2,0.039619269775794164,0.44988283651263394,6.4964474402219725,0
27.4728,94.912,108.0,1.8,352.8,21.0,45.0,33.0,1.2,14.2,23.6,55.9,0
25.7428,93.9136,949.5,31.74,342.0,34.0,26.0,40.0,1.2,0.8035398154252036,3.0768239798200794,0.48501106646503445,0
27.4728,94.912,108.0,1.8,5.6,21.0,45.0,33.0,1.2,26.4,42.4,66.2,0
26.148,94.8422,1256.3,37.19,282.3,36.7,19.9,43.4,1.2,11.1,30.5,69.8,1
26.0207,89.9744,38.0,1.5,348.5,24.0,45.0,33.0,1.2,5.0,9.9,135.6,0
26.6528,92.7926,68.0,1.9,207.7,22.5,45.0,33.0,1.2,8.6,18.2,60.9,0
25.5718,94.1211,939.2,39.04,269.6,33.9,26.2,39.9,1.2,0.47553453075721835,3.538086223273683,0.9379848419007493,0
23.7705,92.5217,2079.1,38.53,287.4,38.8,16.3,44.8,1.2,0.0,0.0,40.6,1
26.5413,88.7196,85.0,1.8,135.1,23.0,45.0,33.0,1.2,7.0,16.9,69.6,0
26.1016,91.6906,1066.4,27.6,310.7,35.0,23.7,41.3,1.2,29.0,39.2,75.7,1
26.9978,88.167,1313.7,51.31,146.6,30.6,33.7,35.7,1.2,26.5,49.4,121.3,1
25.16,93.686,1600.6,47.67,22.2,35.2,23.7,41.2,1.2,1.8,12.5,71.2,1
26.6528,92.7926,68.0,1.9,39.8,22.5,45.0,33.0,1.2,57.9,129.7,150.9,0
24.9111,94.4759,1468.7,36.17,198.5,34.1,25.7,40.1,1.2,0.6715231859065637,1.4709585466286574,5.757609463829231,0
26.8692,88.4695,1915.2,37.0,16.1,33.6,27.0,39.5,1.2,137.1,178.2,234.5,1
26.8811,88.2779,2382.3,39.98,278.6,35.9,21.7,42.4,1.2,0.9823490394618588,2.3119731150815634,2.5130203629342063,0
25.52,91.27,975.8,44.58,7.4,35.6,27.3,37.1,1.2,7.9,52.0,433.8,1
24.9818,93.5142,1700.8,46.0,24.9,35.9,22.1,41.9,1.2,20.2,98.7,210.4,1
26.2083,94.5438,888.8,36.13,231.6,33.5,27.2,39.3,1.2,1.3979978655195702,3.4224982673281854,0.9574218541401027,0
24.004,93.9815,1205.6,35.48,155.2,32.1,29.8,38.1,1.2,0.6116237783167484,0.6348458327168265,7.135996251633769,0
26.3212,91.0065,48.0,1.7,21.3,23.5,45.0,33.0,1.2,58.0,140.8,202.9,0
26.1833,91.8,867.8,35.11,86.7,33.3,27.6,39.1,1.2,6.7,11.9,216.4,1
26.7271,88.3953,120.0,2.4,59.0,21.5,45.0,33.0,1.2,10.1,54.7,94.5,0
23.7327,92.7463,1210.3,37.81,47.4,32.2,29.7,38.2,1.2,19.1,92.1,135.0,1
26.7271,88.3953,120.0,2.4,23.5,21.5,45.0,33.0,1.2,4.7,8.4,37.6,0
26.3463,92.6841,62.0,1.6,259.9,22.0,45.0,33.0,1.2,145.9,182.6,289.1,0
26.1445,91.7362,55.0,2.1,28.7,22.0,45.0,33.0,1.2,1.7,7.3,94.9,0
27.15977181,88.63411246,2491.4,50.86,173.1,36.5,20.5,43.1,1.2,137.5,309.0,424.0,1
22.6461,88.3403,1206.4,51.94,144.1,30.0,34.9,35.0,1.2,0.47715813246249,3.831206478012823,5.005694391882857,0
26.1699,94.4922,1140.1,40.06,81.4,31.6,30.8,37.6,1.2,1.407310844234311,0.0042438851428503455,7.424578300395795,0
26.3212,91.0065,48.0,1.7,267.5,23.5,45.0,33.0,1.2,0.2,110.8,133.1,0
26.1445,91.7362,55.0,2.1,299.0,22.0,45.0,33.0,1.2,22.4,32.3,74.9,0
26.1445,91.7362,55.0,2.1,257.0,22.0,45.0,33.0,1.2,38.9,72.7,125.7,0
26.1964,91.7652,622.1,41.3,328.9,31.1,32.6,36.4,1.2,4.5,39.4,172.9,1
26.7271,88.3953,120.0,2.4,134.3,21.5,45.0,33.0,1.2,55.8,142.1,184.5,0
26.3463,92.6841,62.0,1.6,130.0,22.0,45.0,33.0,1.2,0.0,0.6,11.0,0
26.3212,91.0065,48.0,1.7,53.3,23.5,45.0,33.0,1.2,9.2,50.1,165.7,0
25.0318,92.4584,655.9,39.2,150.2,31.4,31.9,36.7,1.2,0.0,0.0,0.1,1
26.2753,94.6654,996.4,29.98,271.9,34.4,25.1,40.5,1.2,1.1792308989569498,1.4329814248708357,0.6861965185209637,0
27.36,93.0385,2115.8,46.35,24.3,34.1,24.2,41.8,1.2,88.3,149.8,222.4,1
26.138,94.25,624.5,40.19,257.0,31.1,32.5,36.4,1.2,38.9,72.7,125.7,1
25.8877,94.7861,718.2,31.73,116.7,31.9,30.6,37.4,1.2,6.0,22.5,96.3,1
24.3069,93.125,1966.6,43.75,320.3,38.0,18.1,44.0,1.2,13.9,40.5,93.4,1
26.4205,94.9731,1065.0,40.83,58.6,35.0,23.7,41.3,1.2,1.4902548811556307,1.454316561633009,0.31110084909490965,0
27.8385,88.556,2374.2,46.53,278.4,35.9,21.8,42.3,1.2,1.4088923521012258,1.6707322001423357,5.16248109296787,0
26.5413,88.7196,85.0,1.8,173.7,23.0,45.0,33.0,1.2,29.0,44.3,218.3,0
23.899,94.1434,1255.3,32.41,12.6,32.5,29.0,38.5,1.2,15.0,448.2000000000001,765.4,1
27.1141,88.4658,1374.6,48.9,255.9,30.9,33.0,36.1,1.2,1.1560047645930878,2.29715765295625,3.4828064414124382,0
27.3392,88.6188,2002.0,50.04,162.0,34.0,26.0,40.0,1.2,0.5134605991823789,2.968522913897699,7.700816784628634,0
27.4728,94.912,108.0,1.8,226.0,21.0,45.0,33.0,1.2,31.7,70.4,125.4,0
25.1122,94.3591,1000.1,46.97,221.5,30.5,32.9,36.5,1.2,15.8,108.3,199.3,1
26.3463,92.6841,62.0,1.6,159.3,22.0,45.0,33.0,1.2,3.6,34.9,72.2,0
24.7992,93.948,1517.3,36.57,307.9,34.5,25.0,40.5,1.2,11.0,46.4,134.1,1
27.174,95.8011,2614.5,34.86,322.3,36.6,18.9,44.5,1.2,46.1,108.3,266.5,1
26.888,88.2796,2717.8,35.93,142.1,37.6,17.9,44.5,1.2,0.0,137.3,327.90000000000003,1
25.1796,93.0083,501.3,28.02,39.8,33.0,31.0,36.1,1.2,1.3665184457972361,3.2935876071511525,6.305164188073927,0
25.1555,93.8474,1711.8,31.73,277.2,36.0,22.0,42.0,1.2,1.1894147613381323,2.942569754473069,2.494786399992698,0
26.4333,94.8833,796.5,39.02,83.9,32.6,29.1,38.3,1.2,29.1,52.3,132.3,1
27.4728,94.912,108.0,1.8,89.8,21.0,45.0,33.0,1.2,15.5,60.5,123.5,0
25.3908,94.0926,1059.1,32.5,115.2,31.0,32.0,37.0,1.2,21.8,88.60000000000001,200.3,1
26.0207,89.9744,38.0,1.5,357.7,24.0,45.0,33.0,1.2,36.5,95.8,128.20000000000002,0
26.3212,91.0065,48.0,1.7,66.5,23.5,45.0,33.0,1.2,11.8,57.6,150.6,0
23.9278,94.0906,852.4,36.18,1.5,29.4,35.2,35.4,1.2,1.1198642574631248,3.5431486672538917,0.7082479388969309,0
27.4728,94.912,108.0,1.8,272.3,21.0,45.0,33.0,1.2,51.9,144.6,237.4,0
25.1175,92.8573,841.9,30.72,304.7,36.2,24.2,39.7,1.2,154.4,293.0,337.3,1
25.5007,93.9854,878.2,47.73,110.2,29.6,34.8,35.6,1.2,21.8,88.60000000000001,200.3,1
26.6528,92.7926,68.0,1.9,278.6,22.5,45.0,33.0,1.2,26.5,49.4,121.3,0
27.1758,88.5294,2533.3,38.25,318.0,36.7,20.0,43.3,1.2,1.3587484162711425,2.9808294389809107,5.358543240652947,0
27.5798729,91.85672387,2327.8,37.21,136.6,35.1,21.9,42.9,1.2,0.049007175240710354,3.950065623904353,5.871260303986976,0
27.0161,88.2478,2256.2,39.13,203.8,35.3,23.1,41.6,1.2,1.2356911394890986,2.201749628721837,0.11688254718277413,0
25.1941,94.4481,1944.5,41.35,355.7,37.8,18.4,43.8,1.2,0.6872792440162928,0.9600055394312035,1.631575644903175,0
27.059,88.4694,1421.9,49.92,257.0,31.1,32.5,36.4,1.2,0.7688227375201253,0.9984420264858116,4.502921315463573,0
26.7271,88.3953,120.0,2.4,132.1,21.5,45.0,33.0,1.2,10.7,31.2,56.8,0
26.3897,94.9439,610.3,41.03,76.4,31.0,32.8,36.2,1.2,0.013541133835527575,1.0689213332408234,5.488402241212564,0
25.3179,94.0462,1208.3,37.71,172.3,36.3,20.8,42.9,1.2,21.6,69.4,97.8,1
27.6438,93.871,1183.1,45.13,77.7,29.4,34.0,36.6,1.2,0.5650761597102991,1.9134782799846306,0.5844068787382719,0
26.0137,94.5163,1323.6,40.21,212.9,37.3,18.5,44.2,1.2,0.30196643118990824,3.2885649637049217,2.1266351099904846,0
25.2568,92.3825,1371.3,43.8,272.3,38.5,20.8,40.6,1.2,0.12864979622531186,3.887895087530163,6.487184010329222,0
27.06826195,88.28121204,1203.3,51.76,252.1,30.0,35.0,35.0,1.2,1.1273710227145373,1.6154782459004058,2.486373057620143,0
26.8836,88.2791,2663.0,36.26,320.9,37.3,18.5,44.1,1.2,0.13366773988863484,3.3138101650487353,7.066365472241705,0
26.0207,89.9744,38.0,1.5,161.1,24.0,45.0,33.0,1.2,34.9,54.1,178.79999999999998,0
27.0366,88.263,1823.0,50.91,158.0,33.1,28.0,38.9,1.2,0.7058305403387125,2.550652263373774,4.563052424439977,0
26.1445,91.7362,55.0,2.1,334.9,22.0,45.0,33.0,1.2,4.9,17.4,39.3,0
